"","Name","ID Number","Date","RTNG"
"120","Anand, Viswanathan",5000017,1997-07-01,2765
"121","Anand, Viswanathan",5000017,1997-01-01,2765
"122","Anand, Viswanathan",5000017,1996-07-01,2750
"123","Anand, Viswanathan",5000017,1996-01-01,2725
"124","Anand, Viswanathan",5000017,1995-07-01,2725
"125","Anand, Viswanathan",5000017,1995-01-01,2715
"126","Anand, Viswanathan",5000017,1994-07-01,2720
"127","Anand, Viswanathan",5000017,1994-01-01,2715
"128","Anand, Viswanathan",5000017,1993-07-01,2725
"129","Anand, Viswanathan",5000017,1993-01-01,2710
"130","Anand, Viswanathan",5000017,1992-07-01,2690
"131","Anand, Viswanathan",5000017,1992-01-01,2670
"132","Anand, Viswanathan",5000017,1991-07-01,2650
"133","Anand, Viswanathan",5000017,1991-01-01,2635
"134","Anand, Viswanathan",5000017,1990-07-01,2610
"135","Anand, Viswanathan",5000017,1990-01-01,2555
"136","Anand, Viswanathan",5000017,1989-07-01,2555
"137","Anand, Viswanathan",5000017,1989-01-01,2515
"138","Anand, Viswanathan",5000017,1988-07-01,2555
"139","Anand, Viswanathan",5000017,1988-01-01,2520
"140","Anand, Viswanathan",5000017,1987-07-01,2505
"141","Anand, Viswanathan",5000017,1987-01-01,2500
"142","Anand, Viswanathan",5000017,1986-07-01,2420
"143","Anand, Viswanathan",5000017,1986-01-01,2405
"144","Anand, Viswanathan",5000017,1985-07-01,2385
"145","Anand, Viswanathan",5000017,1985-01-01,2380
"146","Anand, Viswanathan",5000017,1984-07-01,2345
"147","Anand, Viswanathan",5000017,1984-01-01,2285
"148","Aronian, Levon",13300474,1999-07-01,2518
"149","Aronian, Levon",13300474,1999-01-01,2502
"150","Aronian, Levon",13300474,1998-07-01,2485
"151","Aronian, Levon",13300474,1998-01-01,2455
"152","Aronian, Levon",13300474,1997-07-01,2435
"153","Aronian, Levon",13300474,1997-01-01,2420
"154","Aronian, Levon",13300474,1996-07-01,2390
"155","Aronian, Levon",13300474,1996-01-01,2310
"156","Aronian, Levon",13300474,1995-07-01,2355
"157","Aronian, Levon",13300474,1995-01-01,2330
"158","Azarov, Sergei",13501470,1999-07-01,2432
"159","Azarov, Sergei",13501470,1999-01-01,2413
"160","Azarov, Sergei",13501470,1998-07-01,2445
"161","Azarov, Sergei",13501470,1998-01-01,2150
"162","Azarov, Sergei",13501470,1997-07-01,2150
